Truth,ID,Guess
Store brand,1,Chips Ahoy brand
Chips Ahoy brand,2,Store brand
Store brand,3,Chips Ahoy brand
Store brand,4,Chips Ahoy brand
Chips Ahoy brand,5,Store brand
Store brand,7,Chips Ahoy brand
Chips Ahoy brand,8,Store brand
Store brand,9,Store brand
Chips Ahoy brand,10,Store brand
Store brand,11,Store brand
Store brand,12,Chips Ahoy brand
Store brand,13,Chips Ahoy brand
Chips Ahoy brand,14,Store brand
Chips Ahoy brand,15,Chips Ahoy brand
Chips Ahoy brand,16,Chips Ahoy brand
Store brand,17,Chips Ahoy brand
Chips Ahoy brand,18,Store brand
Store brand,19,Chips Ahoy brand
Store brand,20,Chips Ahoy brand
Chips Ahoy brand,21,Store brand
